customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00017,Female,0,No,Yes,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),59.91,3567.22,No
CUST-00018,Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),95.02,1716.21,No
CUST-00019,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,97.98,6031.52,No
CUST-00020,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,19.03,292.57,Yes
CUST-00021,Female,1,No,No,33,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),109.49,3699.6,No
CUST-00022,Male,0,No,Yes,29,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,36.88,1000.65,No
CUST-00023,Female,0,Yes,No,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),46.27,832.87,No
CUST-00024,Female,1,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,105.08,913.21,Yes
CUST-00025,Female,0,No,No,39,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),86.66,3670.57,No
CUST-00026,Female,0,No,No,43,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,55.19,2304.29,No
CUST-00027,Female,0,No,Yes,58,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,26.79,1558.84,No
CUST-00028,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),56.62,1276.91,No
CUST-00029,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,114.63,8792.03,No
CUST-00030,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),28.46,1485.8,Yes
CUST-00031,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,102.61,4539.4,Yes
CUST-00032,Male,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,50.53,3780.99,No
CUST-00033,Female,0,No,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,83.46,4270.81,No
CUST-00034,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,81.15,4001.26,No
CUST-00035,Female,0,No,No,42,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),50.56,2269.43,No
CUST-00036,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23.43,405.65,Yes
CUST-00037,Female,1,No,No,65,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,32.88,2170.5,No
CUST-00038,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),74.58,2242.65,No
CUST-00039,Male,1,No,No,53,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,112.89,5665.52,No
CUST-00040,Male,0,Yes,No,0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,110.58,0.0,No
CUST-00041,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,29.35,1630.61,No
CUST-00042,Male,0,No,Yes,14,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),105.52,1404.79,No
CUST-00043,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,41.38,609.44,No
CUST-00044,Female,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),108.99,2523.01,No
CUST-00045,Female,0,Yes,Yes,65,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),93.85,6447.04,No
CUST-00046,Female,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),114.13,4758.5,No
CUST-00047,Female,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),62.17,499.95,Yes
CUST-00048,Male,0,No,No,65,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.16,6137.65,No
CUST-00049,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,91.53,5738.57,No
CUST-00050,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),67.62,1094.38,No
CUST-00051,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),115.45,1927.72,No
CUST-00052,Female,0,No,Yes,71,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,42.37,2918.8,No
CUST-00053,Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),116.62,3655.17,No
CUST-00054,Female,1,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,99.21,6831.16,No
CUST-00055,Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,79.61,5136.19,No
CUST-00056,Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),25.56,1159.93,No
CUST-00057,Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,43.94,1117.36,No
CUST-00058,Male,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,102.13,5824.35,No
CUST-00059,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),90.82,1437.84,Yes
CUST-00060,Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,114.27,5864.92,No
CUST-00061,Male,0,Yes,No,1,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,57.68,61.21,No
CUST-00062,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),107.45,6380.63,No
CUST-00063,Male,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,104.18,310.0,No
CUST-00064,Male,0,No,Yes,51,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,114.61,5701.98,Yes
CUST-00065,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,45.25,1879.21,No
CUST-00066,Female,0,No,No,51,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,67.45,3502.01,No
CUST-00067,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),26.1,766.2,No
CUST-00068,Male,1,No,Yes,25,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),77.09,1806.82,No
CUST-00069,Female,1,No,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,91.23,2135.92,No
CUST-00070,Female,0,No,No,50,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,41.8,1919.18,Yes
CUST-00071,Female,0,No,No,47,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),34.97,1514.68,Yes
CUST-00072,Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.95,830.87,Yes
CUST-00073,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),57.31,421.97,No
CUST-00074,Female,1,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),60.66,661.51,No
CUST-00075,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),65.11,2815.71,No
CUST-00076,Female,1,No,Yes,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,69.15,2114.05,No
CUST-00077,Female,1,Yes,No,71,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),37.55,2879.87,No
CUST-00078,Female,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,75.77,3649.37,No
CUST-00079,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),24.91,489.92,No
CUST-00080,Female,0,Yes,No,40,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,29.35,1079.38,No
CUST-00081,Male,1,No,No,21,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),89.15,2001.73,No
CUST-00082,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),91.14,1702.36,No
CUST-00083,Male,1,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),44.63,1246.8,No
CUST-00084,Female,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),36.47,2329.81,No
CUST-00085,Male,0,Yes,No,70,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,23.4,1755.79,No
CUST-00086,Male,1,No,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,59.89,792.11,No
CUST-00087,Female,0,No,No,51,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.9,3322.32,No
CUST-00088,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),107.95,4091.99,No
CUST-00089,Female,0,No,No,70,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),18.25,1204.01,Yes
CUST-00090,Female,0,No,No,18,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,58.59,1026.22,No
CUST-00091,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.93,1623.12,Yes
CUST-00092,Female,0,Yes,No,17,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,106.66,1710.27,No
CUST-00093,Female,1,Yes,Yes,12,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),37.6,429.68,Yes
CUST-00094,Female,1,Yes,Yes,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,24.62,0.0,No
CUST-00095,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,56.16,1683.86,No
CUST-00096,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),79.23,1001.8,No
CUST-00097,Female,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),103.81,4753.21,Yes
CUST-00098,Female,0,Yes,No,0,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),44.9,0.0,No
CUST-00099,Female,1,Yes,No,27,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,43.13,1110.47,No
CUST-00100,Male,0,Yes,No,31,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,50.6,1556.03,No
CUST-00101,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),29.82,2079.28,No
CUST-00102,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,115.72,5940.51,No
CUST-00103,Female,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,72.06,1713.48,No
CUST-00104,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,45.22,640.66,No
CUST-00105,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,54.17,3488.19,No
CUST-00106,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,104.6,6074.16,No
CUST-00107,Female,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),85.37,1054.43,No
CUST-00108,Female,0,No,No,26,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),73.32,1980.74,No
CUST-00109,Female,0,No,Yes,40,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.48,3480.86,No
CUST-00110,Male,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,93.58,174.87,Yes
CUST-00111,Female,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),37.42,2133.24,No
CUST-00112,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,33.87,688.14,Yes
CUST-00113,Female,0,No,No,17,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),114.67,1909.88,No
CUST-00114,Female,0,Yes,No,40,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,36.57,1568.77,No
CUST-00115,Male,0,No,No,7,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),64.48,439.89,No
CUST-00116,Female,1,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,116.28,3614.87,Yes
CUST-00117,Male,1,No,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,59.72,2526.94,No
CUST-00118,Female,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.48,3066.89,Yes
CUST-00119,Female,1,No,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),97.84,711.87,No
CUST-00120,Male,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.04,2306.4,No
CUST-00121,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.1,1516.11,Yes
CUST-00122,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),51.22,2335.57,No
CUST-00123,Female,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,46.74,2803.07,No
CUST-00124,Male,0,No,Yes,65,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),65.18,4276.92,No
CUST-00125,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.59,1527.84,No
CUST-00126,Female,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),104.73,3046.44,No
CUST-00127,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),65.01,67.13,No
CUST-00128,Male,0,No,No,67,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),50.1,3452.54,No
CUST-00129,Female,1,No,No,38,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,109.16,4151.13,Yes
CUST-00130,Female,0,No,Yes,40,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,51.59,1964.3,No
CUST-00131,Female,0,No,Yes,70,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,95.5,6598.67,No
CUST-00132,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.86,1954.79,Yes
CUST-00133,Male,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),22.98,1040.39,No
CUST-00134,Male,0,No,No,27,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),35.76,913.39,Yes
CUST-00135,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),75.28,1195.11,No
CUST-00136,Male,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,104.76,6765.92,No
CUST-00137,Male,0,No,No,61,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,77.4,5168.68,No
CUST-00138,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,92.27,3188.37,Yes
CUST-00139,Male,0,No,No,21,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,91.44,1962.01,No
CUST-00140,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),67.44,674.93,No
CUST-00141,Female,0,No,No,41,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,74.08,3033.1,No
CUST-00142,Male,0,No,Yes,54,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),25.13,1462.87,Yes
CUST-00143,Female,0,Yes,Yes,34,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,110.77,3459.63,No
CUST-00144,Female,1,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,85.43,4636.48,No
CUST-00145,Female,1,No,Yes,33,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),33.45,1056.61,No
CUST-00146,Male,1,Yes,No,69,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),42.4,2823.79,No
CUST-00147,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,18.47,59.98,Yes
CUST-00148,Male,0,Yes,No,45,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),44.4,1826.13,No
CUST-00149,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),49.66,475.09,No
CUST-00150,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,86.31,5424.77,No
CUST-00151,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),65.67,2116.12,No
CUST-00152,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.28,7418.4,No
CUST-00153,Male,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),26.68,1443.26,No
CUST-00154,Male,0,Yes,Yes,10,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.7,818.38,Yes
CUST-00155,Male,1,Yes,No,11,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,105.49,1164.85,Yes
CUST-00156,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),60.13,2531.19,No
CUST-00157,Male,0,Yes,No,18,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),46.87,765.9,No
CUST-00158,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,62.56,4374.2,No
CUST-00159,Male,0,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,96.88,5216.43,No
CUST-00160,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),109.9,103.6,No
CUST-00161,Male,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.56,174.07,Yes
CUST-00162,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),70.85,1604.13,Yes
CUST-00163,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,81.97,1482.22,No
CUST-00164,Female,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.75,588.7,Yes
CUST-00165,Female,0,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.12,1366.41,No
CUST-00166,Male,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),24.26,633.32,Yes
CUST-00167,Female,0,Yes,No,36,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,47.04,1650.44,No
CUST-00168,Male,0,No,No,20,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),38.54,833.38,No
CUST-00169,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,66.68,681.61,No
CUST-00170,Female,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.53,3620.76,No
CUST-00171,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),102.22,4923.32,No
CUST-00172,Male,0,No,No,14,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,48.43,674.08,No
CUST-00173,Male,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.04,1454.99,No
